DateIndex,Year,Month,Day,Weekday,Hour,Weekend,Norway Holiday,Clear,Clouds,Drizzle,Fog,Mist,Rain,Snow,Thunderstorm,temp,wind_speed,rain_1h,clouds_all,GF-Ferjeleia,GF-Glasshytta,GF-Isegran,GF-Kasernen,GF-Laboratoriegaten,GF-Magenta,GF-Mormors,GF-Pumpehuset,Totalt
2018-10-01 00:00:00,2018,10,274,1,0,0,0,1,0,0,0,0,0,0,0,6.0,2,0.0,0,11,11,0,0,0,11,0,0,33
2018-10-01 01:00:00,2018,10,274,1,1,0,0,1,0,0,0,0,0,0,0,5.5,3,0.0,0,0,0,0,0,0,11,0,0,11
2018-10-01 02:00:00,2018,10,274,1,2,0,0,1,0,0,0,0,0,0,0,4.5,2,0.0,0,0,11,0,0,0,11,0,0,22
2018-10-01 03:00:00,2018,10,274,1,3,0,0,1,0,0,0,0,0,0,0,4.0,3,0.0,0,0,0,0,0,0,0,0,0,0
2018-10-01 04:00:00,2018,10,274,1,4,0,0,1,0,0,0,0,0,0,0,3.1,1,0.0,0,11,0,0,0,0,0,0,0,11
2018-10-01 05:00:00,2018,10,274,1,5,0,0,1,0,0,0,0,0,0,0,1.0,1,0.0,0,23,0,0,0,0,0,0,0,23
2018-10-01 06:00:00,2018,10,274,1,6,0,0,1,0,0,0,0,0,0,0,1.0,1,0.0,0,59,0,0,0,0,0,0,0,59
2018-10-01 07:00:00,2018,10,274,1,7,0,0,0,0,0,1,0,0,0,0,3.0,1,0.0,0,118,0,0,0,0,11,0,0,129
2018-10-01 08:00:00,2018,10,274,1,8,0,0,1,0,0,0,0,0,0,0,5.0,2,0.0,0,200,35,0,0,47,23,0,82,387
2018-10-01 09:00:00,2018,10,274,1,9,0,0,1,0,0,0,0,0,0,0,5.5,3,0.0,0,94,23,0,0,0,11,0,0,128
2018-10-01 10:00:00,2018,10,274,1,10,0,0,1,0,0,0,0,0,0,0,9.0,3,0.0,0,82,70,0,11,0,59,0,11,233
2018-10-01 11:00:00,2018,10,274,1,11,0,0,1,0,0,0,0,0,0,0,10.0,4,0.0,0,106,118,0,0,0,11,0,35,270
2018-10-01 12:00:00,2018,10,274,1,12,0,0,1,0,0,0,0,0,0,0,11.0,4,0.0,0,188,94,0,23,0,47,0,47,399
2018-10-01 13:00:00,2018,10,274,1,13,0,0,1,0,0,0,0,0,0,0,11.5,4,0.0,0,295,106,0,0,0,47,0,59,507
2018-10-01 14:00:00,2018,10,274,1,14,0,0,1,0,0,0,0,0,0,0,12.0,6,0.0,0,200,118,0,0,0,35,0,59,412
2018-10-01 15:00:00,2018,10,274,1,15,0,0,0,1,0,0,0,0,0,0,12.0,4,0.0,20,413,82,0,11,0,47,0,70,623
2018-10-01 16:00:00,2018,10,274,1,16,0,0,1,0,0,0,0,0,0,0,11.5,3,0.0,0,141,59,0,0,0,23,0,11,234
2018-10-01 17:00:00,2018,10,274,1,17,0,0,1,0,0,0,0,0,0,0,9.5,2,0.0,0,129,106,0,0,0,11,0,0,246
2018-10-01 18:00:00,2018,10,274,1,18,0,0,1,0,0,0,0,0,0,0,8.0,1,0.0,0,94,47,0,0,0,23,0,11,175
2018-10-01 19:00:00,2018,10,274,1,19,0,0,1,0,0,0,0,0,0,0,6.5,1,0.0,8,106,11,0,0,0,35,0,47,199
2018-10-01 20:00:00,2018,10,274,1,20,0,0,1,0,0,0,0,0,0,0,5.1,1,0.0,8,70,47,0,0,0,11,0,0,128
2018-10-01 21:00:00,2018,10,274,1,21,0,0,1,0,0,0,0,0,0,0,3.5,1,0.0,8,23,11,0,0,0,0,0,0,34
2018-10-01 22:00:00,2018,10,274,1,22,0,0,1,0,0,0,0,0,0,0,3.6,1,0.0,8,23,0,0,0,0,11,0,23,57
2018-10-01 23:00:00,2018,10,274,1,23,0,0,1,0,0,0,0,0,0,0,3.6,1,0.0,8,11,0,0,0,0,0,0,0,11
2018-10-02 00:00:00,2018,10,275,2,0,0,0,1,0,0,0,0,0,0,0,3.6,1,0.0,8,0,0,0,0,0,11,0,0,11
2018-10-02 01:00:00,2018,10,275,2,1,0,0,1,0,0,0,0,0,0,0,3.0,1,0.0,8,0,0,0,0,0,0,0,0,0
2018-10-02 02:00:00,2018,10,275,2,2,0,0,0,1,0,0,0,0,0,0,3.0,1,0.0,88,0,0,0,0,0,0,0,0,0
2018-10-02 03:00:00,2018,10,275,2,3,0,0,0,0,0,0,0,0,1,0,3.5,2,0.0,88,11,0,0,0,0,0,0,0,11
2018-10-02 04:00:00,2018,10,275,2,4,0,0,0,0,1,0,0,0,0,0,5.1,1,0.0,88,0,0,0,0,0,0,0,0,0
2018-10-02 05:00:00,2018,10,275,2,5,0,0,0,0,1,0,0,0,0,0,5.0,2,0.0,92,11,11,0,0,0,11,0,0,33
2018-10-02 06:00:00,2018,10,275,2,6,0,0,0,0,1,0,0,0,0,0,5.5,2,0.0,92,118,0,0,0,0,0,0,0,118
2018-10-02 07:00:00,2018,10,275,2,7,0,0,0,1,0,0,0,0,0,0,5.5,2,0.0,75,70,0,0,0,0,0,0,0,70
2018-10-02 08:00:00,2018,10,275,2,8,0,0,0,1,0,0,0,0,0,0,5.5,2,0.0,75,82,0,0,11,0,0,0,59,152
2018-10-02 09:00:00,2018,10,275,2,9,0,0,0,0,0,0,0,1,0,0,6.5,2,0.9,75,118,11,0,0,0,35,0,47,211
2018-10-02 10:00:00,2018,10,275,2,10,0,0,0,0,1,0,0,0,0,0,6.5,2,0.0,75,70,59,0,0,11,11,0,23,174
2018-10-02 11:00:00,2018,10,275,2,11,0,0,0,0,0,0,0,1,0,0,6.5,0,0.9,75,70,35,0,0,0,0,0,47,152
