Date,GF-Ferjeleia,GF-Glasshytta,GF-Isegran,GF-Kasernen,GF-Laboratoriegaten,GF-Magenta,GF-Mormors,GF-Pumpehuset,Totalt
2018-10-01 00:00:00,11,11,0,0,0,11,0,0,33
2018-10-01 01:00:00,0,0,0,0,0,11,0,0,11
2018-10-01 02:00:00,0,11,0,0,0,11,0,0,22
2018-10-01 03:00:00,0,0,0,0,0,0,0,0,0
2018-10-01 04:00:00,11,0,0,0,0,0,0,0,11
2018-10-01 05:00:00,23,0,0,0,0,0,0,0,23
2018-10-01 06:00:00,59,0,0,0,0,0,0,0,59
2018-10-01 07:00:00,118,0,0,0,0,11,0,0,129
2018-10-01 08:00:00,200,35,0,0,47,23,0,82,387
2018-10-01 09:00:00,94,23,0,0,0,11,0,0,128
2018-10-01 10:00:00,82,70,0,11,0,59,0,11,233
2018-10-01 11:00:00,106,118,0,0,0,11,0,35,270
2018-10-01 12:00:00,188,94,0,23,0,47,0,47,399
2018-10-01 13:00:00,295,106,0,0,0,47,0,59,507
2018-10-01 14:00:00,200,118,0,0,0,35,0,59,412
2018-10-01 15:00:00,413,82,0,11,0,47,0,70,623
2018-10-01 16:00:00,141,59,0,0,0,23,0,11,234
2018-10-01 17:00:00,129,106,0,0,0,11,0,0,246
2018-10-01 18:00:00,94,47,0,0,0,23,0,11,175
2018-10-01 19:00:00,106,11,0,0,0,35,0,47,199
2018-10-01 20:00:00,70,47,0,0,0,11,0,0,128
2018-10-01 21:00:00,23,11,0,0,0,0,0,0,34
2018-10-01 22:00:00,23,0,0,0,0,11,0,23,57
2018-10-01 23:00:00,11,0,0,0,0,0,0,0,11
2018-10-02 00:00:00,0,0,0,0,0,11,0,0,11
2018-10-02 01:00:00,0,0,0,0,0,0,0,0,0
2018-10-02 02:00:00,0,0,0,0,0,0,0,0,0
2018-10-02 03:00:00,11,0,0,0,0,0,0,0,11
2018-10-02 04:00:00,0,0,0,0,0,0,0,0,0
2018-10-02 05:00:00,11,11,0,0,0,11,0,0,33
2018-10-02 06:00:00,118,0,0,0,0,0,0,0,118
2018-10-02 07:00:00,70,0,0,0,0,0,0,0,70
2018-10-02 08:00:00,82,0,0,11,0,0,0,59,152
2018-10-02 09:00:00,118,11,0,0,0,35,0,47,211
2018-10-02 10:00:00,70,59,0,0,11,11,0,23,174
2018-10-02 11:00:00,70,35,0,0,0,0,0,47,152
2018-10-02 12:00:00,82,35,0,11,0,11,35,23,197
2018-10-02 13:00:00,94,59,11,0,0,11,188,35,398
2018-10-02 14:00:00,82,23,11,11,11,11,47,11,207
2018-10-02 15:00:00,177,35,35,0,11,0,153,11,422
2018-10-02 16:00:00,118,11,23,11,11,11,70,23,278
2018-10-02 17:00:00,118,35,11,0,0,11,11,11,197
2018-10-02 18:00:00,35,47,0,0,0,23,129,23,257
2018-10-02 19:00:00,47,23,0,0,0,11,70,11,162
2018-10-02 20:00:00,0,11,0,0,0,23,11,35,80
2018-10-02 21:00:00,23,35,0,0,11,0,47,0,116
2018-10-02 22:00:00,47,0,0,0,0,0,0,0,47
2018-10-02 23:00:00,11,0,0,0,0,0,0,0,11
2018-10-03 00:00:00,0,0,0,0,0,0,11,0,11
2018-10-03 01:00:00,0,0,0,0,0,0,23,0,23
2018-10-03 02:00:00,0,0,0,0,0,0,11,0,11
2018-10-03 03:00:00,0,0,0,0,0,0,11,0,11
2018-10-03 04:00:00,0,0,0,0,0,0,0,11,11
2018-10-03 05:00:00,23,0,0,0,0,0,11,11,45
2018-10-03 06:00:00,82,0,0,11,0,0,47,0,140
2018-10-03 07:00:00,106,11,0,0,11,0,23,23,174
2018-10-03 08:00:00,82,11,11,0,0,11,70,82,267
2018-10-03 09:00:00,106,0,35,0,11,0,59,35,246
2018-10-03 10:00:00,153,11,23,0,0,23,129,23,362
2018-10-03 11:00:00,177,118,23,11,11,70,212,23,645
2018-10-03 12:00:00,271,141,23,11,35,118,306,47,952
2018-10-03 13:00:00,283,377,70,11,59,94,259,106,1259
2018-10-03 14:00:00,259,330,35,11,23,106,424,82,1270
2018-10-03 15:00:00,165,94,11,0,23,106,212,59,670
