dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1483228800,2017-01-01 00:00:00 +0000 UTC,3156529,,,,278.64,278.15,279.15,1004,,,75,2,250,,,,,,,,,48,802,Clouds,scattered clouds,03n
1483232400,2017-01-01 01:00:00 +0000 UTC,3156529,,,,278.15,278.15,278.15,1004,,,80,2,240,,,,,,,,,48,802,Clouds,scattered clouds,03n
1483236000,2017-01-01 02:00:00 +0000 UTC,3156529,,,,278.15,278.15,278.15,1003,,,80,3,240,,,,,,,,,44,802,Clouds,scattered clouds,03n
1483239600,2017-01-01 03:00:00 +0000 UTC,3156529,,,,277.15,277.15,277.15,1003,,,80,2,250,,,,,,,,,44,802,Clouds,scattered clouds,03n
1483243200,2017-01-01 04:00:00 +0000 UTC,3156529,,,,277.15,277.15,277.15,1003,,,80,2,240,,,,,,,,,44,802,Clouds,scattered clouds,03n
1483246800,2017-01-01 05:00:00 +0000 UTC,3156529,,,,276.18,275.15,277.15,1003,,,83,2,300,,,,,,,,,0,800,Clear,Sky is Clear,01n
1483250400,2017-01-01 06:00:00 +0000 UTC,3156529,,,,275.18,274.15,276.15,1004,,,86,1,10,,,,,,,,,0,800,Clear,Sky is Clear,01n
1483254000,2017-01-01 07:00:00 +0000 UTC,3156529,,,,275.63,275.15,276.15,1004,,,59,2,300,,,,,,,,,0,800,Clear,Sky is Clear,01n
1483257600,2017-01-01 08:00:00 +0000 UTC,3156529,,,,274.15,274.15,274.15,1004,,,64,1,300,,,,,,,,,0,800,Clear,Sky is Clear,01n
1483261200,2017-01-01 09:00:00 +0000 UTC,3156529,,,,274.15,274.15,274.15,1005,,,64,1,250,,,,,,,,,0,800,Clear,Sky is Clear,01d
1483264800,2017-01-01 10:00:00 +0000 UTC,3156529,,,,273.3,272.15,274.15,1005,,,74,1,330,,,,,,,,,0,800,Clear,Sky is Clear,01d
1483268400,2017-01-01 11:00:00 +0000 UTC,3156529,,,,275.15,275.15,275.15,1006,,,59,1,290,,,,,,,,,0,800,Clear,Sky is Clear,01d
1483272000,2017-01-01 12:00:00 +0000 UTC,3156529,,,,276.63,276.15,277.15,1006,,,51,1,250,,,,,,,,,0,800,Clear,Sky is Clear,01d
1483275600,2017-01-01 13:00:00 +0000 UTC,3156529,,,,277.15,277.15,277.15,1006,,,55,2,280,,,,,,,,,0,800,Clear,Sky is Clear,01d
1483279200,2017-01-01 14:00:00 +0000 UTC,3156529,,,,277.15,277.15,277.15,1007,,,55,3,310,,,,,,,,,0,800,Clear,Sky is Clear,01d
1483282800,2017-01-01 15:00:00 +0000 UTC,3156529,,,,276.66,276.15,277.15,1008,,,59,3,340,,,,,,,,,8,800,Clear,sky is clear,02n
1483286400,2017-01-01 16:00:00 +0000 UTC,3156529,,,,276.63,276.15,277.15,1008,,,51,6,350,,,,,,,,,8,800,Clear,sky is clear,02n
1483290000,2017-01-01 17:00:00 +0000 UTC,3156529,,,,276.71,276.15,277.15,1008,,,55,5,350,,,,,,,,,0,800,Clear,Sky is Clear,01n
1483293600,2017-01-01 18:00:00 +0000 UTC,3156529,,,,276.67,276.15,277.15,1009,,,55,5,360,,,,,,,,,0,800,Clear,Sky is Clear,01n
1483297200,2017-01-01 19:00:00 +0000 UTC,3156529,,,,276.67,276.15,277.15,1011,,,51,5,340,,,,,,,,,0,800,Clear,Sky is Clear,01n
1483300800,2017-01-01 20:00:00 +0000 UTC,3156529,,,,276.15,276.15,276.15,1012,,,47,6,340,,,,,,,,,8,800,Clear,sky is clear,02n
1483304400,2017-01-01 21:00:00 +0000 UTC,3156529,,,,275.15,275.15,275.15,1012,,,51,7,350,,,,,,,,,8,800,Clear,sky is clear,02n
1483308000,2017-01-01 22:00:00 +0000 UTC,3156529,,,,275.15,275.15,275.15,1012,,,47,5,350,,,,,,,,,8,800,Clear,sky is clear,02n
1483311600,2017-01-01 23:00:00 +0000 UTC,3156529,,,,274.15,274.15,274.15,1013,,,50,4,350,,,,,,,,,0,800,Clear,Sky is Clear,01n
1483315200,2017-01-02 00:00:00 +0000 UTC,3156529,,,,273.67,273.15,274.15,1013,,,90,4,350,,,,,,,,,0,800,Clear,Sky is Clear,01n
1483318800,2017-01-02 01:00:00 +0000 UTC,3156529,,,,272.67,272.15,273.15,1013,,,54,1,340,,,,,,,,,0,800,Clear,Sky is Clear,01n
