DateIndex,Year,Month,Day,Weekday,Hour,Weekend,Norway Holiday,Clear,Clouds,Drizzle,Fog,Mist,Rain,Snow,Thunderstorm,temp,wind_speed,rain_1h,clouds_all,GF-Ferjeleia,GF-Glasshytta,GF-Isegran,GF-Kasernen,GF-Laboratoriegaten,GF-Magenta,GF-Mormors,GF-Pumpehuset,Totalt
2018-10-01 00:00:00,2018,10,274,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,0,11,11,0,0,0,11,0,0,33
2018-10-01 01:00:00,2018,10,274,0,1,0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,11,0,0,11
2018-10-01 02:00:00,2018,10,274,0,2,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,11,0,0,0,11,0,0,22
2018-10-01 03:00:00,2018,10,274,0,3,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0
2018-10-01 04:00:00,2018,10,274,0,4,0,0,1,0,0,0,0,0,0,0,3,1,0,0,11,0,0,0,0,0,0,0,11
2018-10-01 05:00:00,2018,10,274,0,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,23,0,0,0,0,0,0,0,23
2018-10-01 06:00:00,2018,10,274,0,6,0,0,1,0,0,0,0,0,0,0,1,1,0,0,59,0,0,0,0,0,0,0,59
2018-10-01 07:00:00,2018,10,274,0,7,0,0,0,0,0,1,0,0,0,0,3,1,0,0,118,0,0,0,0,11,0,0,129
2018-10-01 08:00:00,2018,10,274,0,8,0,0,1,0,0,0,0,0,0,0,5,2,0,0,200,35,0,0,47,23,0,82,387
2018-10-01 09:00:00,2018,10,274,0,9,0,0,1,0,0,0,0,0,0,0,5,3,0,0,94,23,0,0,0,11,0,0,128
2018-10-01 10:00:00,2018,10,274,0,10,0,0,1,0,0,0,0,0,0,0,9,3,0,0,82,70,0,11,0,59,0,11,233
2018-10-01 11:00:00,2018,10,274,0,11,0,0,1,0,0,0,0,0,0,0,10,4,0,0,106,118,0,0,0,11,0,35,270
2018-10-01 12:00:00,2018,10,274,0,12,0,0,1,0,0,0,0,0,0,0,11,4,0,0,188,94,0,23,0,47,0,47,399
2018-10-01 13:00:00,2018,10,274,0,13,0,0,1,0,0,0,0,0,0,0,11,4,0,0,295,106,0,0,0,47,0,59,507
